tackle_name,dir_data_files,dir_destination,calib_project_dir,mass_of_player,start_tackle_frame (on contact),end_tackle_frame(on contact-bag/w/gnd),GP_used,Player_number
GP3_Tackle5_session5_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session5_Set2,1289/10,113,200,134,P9
GP3_Tackle6_session5_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session5_Set2,1289/10,135,225,134,P9
GP1_Tackle1_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,71,162,14,P14
GP1_Tackle2_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,63,145,14,P14
GP1_Tackle3_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,73,166,14,P14
GP1_Tackle4_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,68,177,14,P14
GP1_Tackle5_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,64,160,14,P14
GP1_Tackle6_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,55,167,14,P14
GP1_Tackle7_session10_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set1,981/10,60,163,14,P14
GP3_Tackle1_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,59,170,134,P14
GP3_Tackle2_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,58,176,134,P14
GP3_Tackle3_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,65,179,134,P14
GP3_Tackle4_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,51,156,134,P14
GP3_Tackle5_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,58,166,134,P14
GP3_Tackle6_session10_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,57,157,134,P14
GP3_Tackle1_session10_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,91,198,134,P14
GP3_Tackle2_session10_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,82,181,134,P14
GP3_Tackle3_session10_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,75,163,134,P14
GP3_Tackle4_session10_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,66,164,134,P14
GP3_Tackle6_session10_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,88,175,134,P14
GP3_Tackle1_session10_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,89,185,134,P14
GP3_Tackle2_session10_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,79,194,134,P14
GP3_Tackle3_session10_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,77,169,134,P14
GP3_Tackle4_session10_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,82,177,134,P14
GP3_Tackle6_session10_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session10_Set2,981/10,77,181,134,P14
GP3_Tackle1_session13_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set1,1671/20,95,184,134,P15
GP3_Tackle2_session13_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set1,1671/20,95,191,134,P15
GP3_Tackle3_session13_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set1,1671/20,86,183,134,P15
GP3_Tackle7_session13_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set1,1671/20,92,209,134,P15
GP3_Tackle8_session13_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set1,1671/20,79,175,134,P15
GP3_Tackle1_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,98,190,134,P15
GP3_Tackle2_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,88,179,134,P15
GP3_Tackle3_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,90,175,134,P15
GP3_Tackle4_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,87,180,134,P15
GP3_Tackle5_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,88,168,134,P15
GP3_Tackle6_session13_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,85,175,134,P15
GP3_Tackle1_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,94,183,134,P15
GP3_Tackle2_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,81,156,134,P15
GP3_Tackle3_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,85,161,134,P15
GP3_Tackle4_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,78,161,134,P15
GP3_Tackle5_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,89,171,134,P15
GP3_Tackle6_session13_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,82,169,134,P15
GP3_Tackle1_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,91,180,134,P15
GP3_Tackle2_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,87,169,134,P15
GP3_Tackle3_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,94,177,134,P15
GP3_Tackle4_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,98,182,134,P15
GP3_Tackle5_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,85,168,134,P15
GP3_Tackle6_session13_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session13_Set2,1671/20,84,161,134,P15
GP3_Tackle1_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,141,282,34,P7
GP3_Tackle2_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,140,270,34,P7
GP3_Tackle3_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,105,218,34,P7
GP3_Tackle4_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,160,299,34,P7
GP3_Tackle5_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,160,279,34,P7
GP3_Tackle6_session2_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set1,1701/20,120,214,34,P7
GP3_Tackle1_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,119,258,34,P7
GP3_Tackle2_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,149,270,34,P7
GP3_Tackle3_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,127,251,34,P7
GP3_Tackle4_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,141,259,34,P7
GP3_Tackle5_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,118,207,34,P7
GP3_Tackle6_session2_set6,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,112,223,34,P7
GP3_Tackle1_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,112,235,34,P7
GP3_Tackle2_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,118,231,34,P7
GP3_Tackle3_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,102,210,34,P7
GP3_Tackle4_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,113,226,34,P7
GP3_Tackle5_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,111,207,34,P7
GP3_Tackle6_session2_set11,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session2_Set5,1701/20,103,206,34,P7
GP3_Tackle1_session7_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set1,143/2,135,218,134,P11
GP3_Tackle3_session7_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set1,143/2,116,224,134,P11
GP3_Tackle4_session7_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set1,143/2,108,221,134,P11
GP3_Tackle5_session7_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set1,143/2,103,215,134,P11
GP3_Tackle6_session7_set1,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set1,143/2,150,260,134,P11
GP3_Tackle1_session7_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,112,209,134,P11
GP3_Tackle3_session7_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,101,215,134,P11
GP3_Tackle4_session7_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,107,210,134,P11
GP3_Tackle5_session7_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,110,217,134,P11
GP3_Tackle6_session7_set2,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,104,210,134,P11
GP3_Tackle1_session7_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,97,199,134,P11
GP3_Tackle3_session7_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,98,202,134,P11
GP3_Tackle4_session7_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,92,183,134,P11
GP3_Tackle5_session7_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,107,210,134,P11
GP3_Tackle6_session7_set3,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,100,192,134,P11
GP3_Tackle1_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,102,213,134,P11
GP3_Tackle3_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,110,194,134,P11
GP3_Tackle4_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,108,199,134,P11
GP3_Tackle5_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,116,201,134,P11
GP3_Tackle6_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,109,144,134,P11
GP3_Tackle7_session7_set4,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/Spreadsheet/,/home/uct/Desktop/RugbyProject/CameraCalibration/Projects/Session7_Set2,143/2,102,203,134,P11
